model,Estimate,Std. Err,z-value,p-value
aya-8b-23-q4,-0.047156651356822586,2.660980044847721,-0.017721535134437087,0.9858610007917799
claude-3-opus-20240229,-0.020582089642101804,0.1366560729445356,-0.1506123306375474,0.8802815339150687
deepseek-llm-7b-chat-q4,0.002392988862436077,0.021743091690253746,0.11005743324895545,0.9123638263615563
gemini-1.5-flash-latest,-0.12247654346614974,0.013596670652916476,-9.007833357416123,0
gpt-4o,0.1720288870369982,0.009437931199145717,18.227393629902934,0
llama2-13b,0.0840820717119616,0.041067865619166914,2.0473932706810065,0.04061948656957437
llama2-7b,0.0846041491894834,0.01829407837898696,4.624674030151592,0.0000037518796340840765
llama3-8b-instruct-q4,0.08475117044341382,0.008226221554977042,10.302563560524936,0
mistral-7b,-0.059779056414268075,0.03134172713770006,-1.9073312759606742,0.05647770258223139
mixtral-8x7b,-0.8333228809757535,1.3341359653261053,-0.6246161580476081,0.5322230122057896
openchat-7b-v3.5-q4,-0.8278420124203326,1.3657035782606186,-0.6061652217929157,0.54440504444016
openhermes-7b-mistral-v2.5-q4,-0.8273994725782459,0.8096930191371838,-1.021868106827583,0.3068433291864989
orca2-13b,-0.49825636276741986,5.3931383928958745,-0.09238709012616049,0.9263904961465104
orca2-7b,-0.5103856763035961,1.2006679757266259,-0.4250847749930978,0.6707748762622283
phi-2.7b,-0.01384190028615704,0.010574530226684552,-1.308984889930938,0.190539469122061
qwen-4b-chat-v1.5-q4,-0.015609927202673766,0.061352236102000544,-0.2544312676145529,0.799162397498578
solar-10.7b-instruct-v1-q4,-0.011253688673304224,0.009712001636126398,-1.1587404011840738,0.24656201737039374
tinyllama-1.1b-chat-v0.6-q4,0.02761060498524751,0.012296704661699048,2.2453661970919576,0.02474463358948409
vicuna-13b,0.014635354576772616,1.6781980586311227,0.008720874453103409,0.9930418371162293
wizardlm2-7b-q4,-0.8565112653741641,2.7716072120355744,-0.30903053710298306,0.7572982977196094
yi-9b-chat-v1.5-q4,1.7450858167194727,103.26009786521003,0.01689990473374714,0.9865164687682819
